Question,Answer
Kann ich Kaufland Card XTRA nur bei Kaufland einsetzen?,Ja. Aktuell ist Kaufland Card XTRA bei Einkäufen in allen deutschen Kaufland-Filialen sowie auf unserem Online-Marktplatz Kaufland.de einsetzbar.
Wie kann ich die Kaufland-App herunterladen?,Die Kaufland-App („Kaufland: deine XTRA Vorteile“) kannst du kostenlos im Google Play Store oder im App Store herunterladen.
Wo erfahre ich etwas über die aktuellen Kaufland Card XTRA Aktionen?,"Über die Kaufland Card XTRA Aktionen informieren wir in unserer Kaufland-App, im Kaufland Card XTRA Newsletter, im Kaufland-Prospekt, in den Kaufland-Filialen und auf unserem Online-Marktplatz Kaufland.de ."
"An wen kann ich mich wenden, wenn ich weitere Fragen habe?",Hier geht es direkt zu unserem Kontaktformular: https://filiale.kaufland.de/service/kontakt.html
Wie kann ich am Vorteilsprogramm Kaufland Card XTRA teilnehmen?,"Dafür gibt es zwei Möglichkeiten. In unserer Kaufland-App: Einfach die aktuelle Kaufland-App aus dem Google Play Store oder App Store herunterladen beziehungsweise aktualisieren. In der App die Heimat-Filiale auswählen und das Kaufland Card XTRA Konto erstellen. Bitte die Bestätigung durch Anklicken des E-Mail- oder SMS-Links nicht vergessen, denn erst anschließend ist Kaufland Card XTRA aktiviert. Auf unserem Online-Marktplatz Kaufland.de : Ein neues Kundenkonto anlegen oder mit dem bestehenden Konto einloggen und für Kaufland Card XTRA registrieren. Kaufland Card XTRA wird automatisch mit dem Konto in der Kaufland-App verknüpft. Beim Online-Einkauf einfach vor Abschluss der Bestellung noch einmal prüfen, dass der Haken bei „Kaufland Card XTRA“ gesetzt ist."
Kann ich eine Festnetznummer bei Kaufland Card XTRA hinterlegen?,Nein. Zur Anmeldung für ein Kaufland Card XTRA Konto können nur eine Mobilfunknummer oder E-Mail-Adresse verwendet werden.
Welche Daten werden für die Registrierung benötigt?,"Benötigt werden die E-Mail-Adresse und/oder Handynummer, Name, Adresse sowie das Geburtsdatum (Mindestalter 18 Jahre). Optional kannst du die Anrede und Anzahl der Personen im Haushalt angeben. Achtung: Bei einer vierstelligen Postleitzahl muss bei der Registrierung eine Null vorangestellt werden."
Wofür werden meine Daten eingesetzt?,"Die Daten helfen uns dabei, dir ein individuell auf dich zugeschnittenes Kaufland Card XTRA Erlebnis zu bieten. So können wir dir individuelle Angebote ausspielen. In unseren Datenschutzhinweisen gehen wir im Einzelnen auf die erhobenen Daten und deren Verwendung ein. In der App erreichst du diese im Menüpunkt „Services“ > „Datenschutzeinstellungen“ > „Datenschutzhinweise“."
Wie kann ich meine persönlichen Daten ändern?,Persönliche Daten kannst du ändern: in der Kaufland-App im Bereich „Services“ im Kundenkonto unter kaufland-xtra.de/loyalty-bereich bei unserem Kundenmanagement über das Kontaktformular
Sind meine persönlichen Daten sicher?,"Ja, die Sicherheit sämtlicher kundenbezogener Daten ist uns sehr wichtig. Dabei hält sich die Kaufland Dienstleistung GmbH & Co. KG an die geltende Gesetzgebung zum Schutz persönlicher Daten. Weitere Einzelheiten über den Schutz der Daten finden sich unter den Datenschutzgrundsätzen des Kaufland Card XTRA Vorteilsprogramms."
Wo kann ich meine Kaufland Card XTRA Nummer finden?,Die Kaufland Card XTRA Nummer findet du: auf der digitalen Kaufland Card XTRA (in der Kaufland-App) auf der physischen Kaufland Card XTRA Karte aus Kunststoff im Loyalty-Bereich unter kaufland-xtra.de/loyalty-bereich oder im Kontokonto auf unserem Online-Marktplatz Kaufland.de .
Wie kann ich meine Kaufland Card XTRA Mitgliedschaft beenden beziehungsweise mein Kundenkonto löschen?,"Das Kaufland Card XTRA Konto kann gelöscht werden in der Kaufland-App, über unseren Online-Marktplatz Kaufland.de oder über unser Kundenmanagement. So geht's in der Kaufland-App: Im Bereich „Services“ unter „Mein Profil bearbeiten“ nach unten scrollen und auf „Kundenkonto löschen“ klicken, anschließend das Löschen bestätigen. Achtung: Mit dem Löschen des Kaufland Card XTRA Kontos gehen alle Vorteile sowie alle gesammelten Treuepunkte verloren. Um weiterhin auf unserem Online-Marktplatz Kaufland.de (ohne die Kaufland Card XTRA Vorteile) einkaufen zu können, bleibt das Kaufland-Kundenkonto bestehen. Dieses kann in den Einstellungen des Kaufland-Kundenkontos gelöscht werden."
"Was passiert mit meinen persönlichen Daten, nachdem ich das Programm verlassen habe?",Das Kaufland-Kundenkonto bleibt auch nach der Beendigung der Teilnahme am Vorteilsprogramm und dem Löschen der Daten bestehen. Du kannst es gesondert löschen.
Wie lange ist mein Kaufland Card XTRA Konto gültig?,"Kaufland Card XTRA hat eine unbestimmte Gültigkeitsdauer und kann jederzeit in jeder Kaufland-Filiale und online auf dem Online-Marktplatz Kaufland.de eingesetzt werden. Solltest du über zwölf Monate inaktiv sein, wird Kaufland dich über die anstehende Löschung deiner Daten benachrichtigen."
Ich habe zwei Kaufland Card XTRA Konten mit unterschiedlichen Anmeldedaten. Kann ich die Vorteile auf ein einziges Konto übertragen?,Nein. Eine Zusammenführung von zwei bereits existierenden Konten ist leider nicht möglich.
"Was mache ich, wenn ich mein Passwort vergessen habe?",Ein neues Kaufland Card XTRA Passwort kannst du über die Kaufland-App oder während des Anmeldevorgangs auf unserem Online-Marktplatz Kaufland.de anfordern.
"Wie bekomme ich eine neue physische Karte aus Kunststoff, wenn meine Kaufland Card XTRA Karte verloren gegangen ist?","Eine neue Kaufland Card XTRA Karte gibt es über unser Kundenmanagement unter der kostenfreien Nummer 0800 / 15 28 352 (Montag bis Samstag, 8 bis 19 Uhr). Die gute Nachricht ist: Bereits gesammelte Treuepunkte bleiben erhalten."
"Kann ich eine neue Karte ohne die Hilfe des Kundenmanagements aktivieren, wenn die vorherige Karte verloren gegangen ist?","Nein, das ist leider nicht möglich."
Kann ich meine separat registrierte physische Karte aus Kunststoff mit meinem digitalen Kaufland Card XTRA Konto zusammenführen?,Nein. Die Zusammenführung einer separat registrierten Karte mit einem digitalen Kaufland Card XTRA Konto ist nicht möglich.
Sind Einkäufe mit gescannter physischer Karte aus Kunststoff in der Kaufland-App nachvollziehbar?,"Ja. Sofern die physische Karte mit einem digitalen Konto verbunden ist, werden alle Einkäufe auch auf dem digitalen Kassenbon in der Kaufland-App angezeigt."
Welche Coupons gibt es?,Es gibt zwei Arten von Coupons: Coupons ohne Treuepunkteeinsatz – einfach aktivieren und Kaufland Card XTRA an der Kasse scannen. Die Rabatte werden automatisch abgezogen. Coupons mit Treuepunkteeinsatz – beim Aktivieren des Coupons wird eine definierte Anzahl an Treuepunkten abgezogen. Durch Scannen von Kaufland Card XTRA an der Kasse erhältst du automatisch deine Rabatte.
"Muss ich Kaufland Card XTRA haben, um Coupons nutzen zu können?","Ja, um Coupons einlösen zu können, ist eine Mitgliedschaft bei Kaufland Card XTRA erforderlich."
Wie aktiviere ich einen Coupon mit einem digitalen Kaufland Card XTRA Konto?,Einfach in der Kaufland-App oder in unserem Loyalty-Bereich in der Rubrik „Coupons“ auf „Aktivieren“ klicken. Deine Rabatte werden beim Einkauf mit Kaufland Card XTRA automatisch abgezogen. Coupons für den Online-Marktplatz Kaufland.de müssen ebenfalls aktiviert werden. Das geht ganz einfach im Kaufland Card XTRA Bereich auf unserem Online-Marktplatz Kaufland.de oder in der Kaufland-App. Aktivierte Coupons werden beim Bezahlvorgang automatisch eingelöst und dir wird die Ersparnis angezeigt. Je Online-Einkauf kann nur ein Coupon eingelöst werden. Eine Kombination mehrerer Coupons ist nicht möglich.
Wie aktiviere ich einen Coupon mit einer physischen Kaufland Card XTRA Karte aus Kunststoff?,Einfach im Loyalty-Bereich einloggen und unter der Rubrik „Coupons“ auf „Aktivieren“ klicken. Die Rabatte werden beim Einkauf mit Kaufland Card XTRA automatisch abgezogen.
Können im digitalen Konto aktivierte Coupons auch mit der physischen Karte aus Kunststoff genutzt werden?,In der Kaufland-App aktivierte Coupons sind automatisch auch für die zugehörigen verknüpften physischen Karten aus Kunststoff aktiviert.
Kann ich mehrere Coupons mit Treuepunkten aktivieren?,"Ja. Je höher der Treuepunktestand, desto mehr Coupons können aktiviert werden."
Wie lange sind Coupons gültig und wie oft kann ich diese einlösen?,Das hängt vom jeweiligen Coupon ab. Auf jedem Coupon sind die Gültigkeitsdauer und eventuelle Limitierungen vermerkt. Coupons können einmalig eingelöst werden. Diese Information ist ebenfalls im Coupon ersichtlich.
Wie kann ich meine Coupons einlösen?,"Für das Einlösen müssen die Coupons vorher aktiviert und der QR-Code von Kaufland Card XTRA beim Einkauf an der Kasse unter den Scanner gehalten werden. Alle aktivierten Coupons werden automatisch eingelöst, wenn die Couponbedingungen erfüllt sind."
"Wo kann ich sehen, wie viel ich durch die Coupons gespart habe?",Die Ersparnis ist direkt auf dem (digitalen) Kassenbon unter den jeweiligen Artikeln ausgewiesen. Auf unserem Online-Marktplatz Kaufland.de wird die Ersparnis vor Kaufabschluss angezeigt.
Wann erhalte ich neue Coupons?,"Wir bieten regelmäßig neue Coupons an – einfach in der Kaufland-App, im Loyalty-Bereich oder im Kaufland Card XTRA Konto auf Kaufland.de nachschauen. Die Coupons werden automatisch in der Kaufland-App im Coupon-Bereich zur Verfügung gestellt."
Können die Coupons in allen Kaufland-Filialen verwendet werden?,"Die meisten Coupons sind in allen Kaufland-Filialen in Deutschland einsetzbar. Sollte ein Coupon nur in einer bestimmten Filiale einlösbar sein, ist dies im Coupon ersichtlich. Coupons für unseren Online-Marktplatz Kaufland.de können in den Kaufland-Filialen nicht eingelöst werden. Jeder Coupon ist speziell gekennzeichnet, sodass klar ersichtlich ist, wo er eingelöst werden kann."
"Gibt es auch Coupons, die ich auf dem Online-Marktplatz Kaufland.de einlösen kann?","Ja, es gibt auch Rabatt-Coupons für Produkte oder den gesamten Einkauf auf unserem Online-Marktplatz Kaufland.de . Coupons für den Online-Marktplatz Kaufland.de müssen ebenfalls aktiviert werden. Das geht ganz einfach im Kaufland Card XTRA Bereich auf unserem Online-Marktplatz Kaufland.de, in der Kaufland-App oder im Loyalty-Bereich . Aktivierte Coupons werden beim Bezahlvorgang automatisch eingelöst und dir wird die Ersparnis angezeigt. Der Willkommenscoupon für den Online-Marktplatz Kaufland.de, der bei Vergabe des E-Mail-Opt-ins zugewiesen wird, gewährt fünf Euro Rabatt ab einem Mindestbestellwert von 40 Euro auf alle Produkte."
"Gibt es Coupons, die ich sowohl in der Kaufland-Filiale als auch auf dem Online-Marktplatz Kaufland.de einlösen kann?","Nein. Für die Kaufland-Filialen gelten andere Coupons als für den Online-Marktplatz Kaufland.de . Jeder Coupon ist speziell gekennzeichnet, sodass klar ersichtlich ist, wo er eingelöst werden kann."
Kann ich mehrere Coupons mit Treuepunkten aktivieren?,"Ja. Je höher der Treuepunktestand, desto mehr Coupons können aktiviert werden."
Wie deaktiviere ich einen Coupon?,Einen aktivierten Coupons kannst du durch erneutes Anklicken wieder deaktivieren.
Kann ich aktivierte Coupons wieder deaktivieren und die Treuepunkte zurückbekommen?,"Ja. Aktivierte, nicht eingelöste Coupons können vor Ablauf der Coupongültigkeit zurückgegeben werden. Dazu die aktivierten Coupons durch einen Klick deaktivieren. Die Treuepunkte werden automatisch gutgeschrieben."
"Was passiert, wenn ein Coupon abgelaufen ist und ich ihn noch nicht eingelöst habe?","Jeder Coupon hat eine begrenzte Gültigkeitsdauer. Ein abgelaufener Coupon kann nach dem Ablaufdatum nicht mehr eingelöst werden und verschwindet automatisch aus dem Couponbereich. Wenn ein Coupon mit Treuepunkten aktiviert wurde, ist die Rückerstattung von Treuepunkten nicht eingelöster, aber bereits aktivierter Coupons nur möglich, wenn der Coupon vor Ablauf der Gültigkeit durch erneutes Anklicken deaktiviert wurde."
Was ist „Medienwelt“ und welches Angebot finde ich dort?,"In der Medienwelt sind Angebote unserer Partner für Kaufland Card XTRA Mitglieder zu finden, zum Beispiel Disney+. Hier werden Informationen bereitgestellt und die Aktivierung ermöglicht."
Welche kostenpflichtigen Zugangsberechtigungen gibt es für Disney+ über Kaufland Card XTRA?,Nach dem Gratiszeitraum erfolgt die Nutzung von Disney+ mit Treuepunkten und/oder Zuzahlung. Bei der Registrierung wird eine Zugangsberechtigung für Disney+ Standard mit Werbung ausgewählt. Ein Wechsel zwischen den Zugangsberechtigungen ist nach dem Gratiszeitraum möglich. Übersicht der Zugangsberechtigungen: Disney+ Standard mit Werbung: Zuzahlung 0.00 Euro und 750 Treuepunkte Zuzahlung 2.99 Euro und 250 Treuepunkte Zuzahlung 4.99 Euro und 5 Treuepunkte Disney+ Standard: Zuzahlung 4.99 Euro und 750 Treuepunkte Zuzahlung 6.99 Euro und 250 Treuepunkte Zuzahlung 8.99 Euro und 5 Treuepunkte Disney+ Premium: Zuzahlung 7.99 Euro und 750 Treuepunkte Zuzahlung 9.99 Euro und 250 Treuepunkte Zuzahlung 12.99 Euro und 5 Treuepunkte
Wer und was ist Lidl Content GmbH?,Lidl Content GmbH ist ein Unternehmen der Schwarz Gruppe. Es erweitert das digitale Angebot der Schwarz Gruppe durch Partnerschaften mit Content-Anbietern.
Wie qualifiziere ich mich für das Disney+ Angebot?,"Disney+ ist nur verfügbar für Kaufland Card XTRA Mitglieder mit Wohnsitz in Deutschland, die einmalig innerhalb der letzten 30 Tage für mindestens 30 Euro in einer Kaufland-Filiale eingekauft und den QR-Code von Kaufland Card XTRA in der Kaufland-App gescannt haben sowie eine E-Mail-Adresse und Handynummer in der Kaufland-App unter „Services - Weitere Kaufland Services"" hinterlegt und den Button „Zahlungspflichtig bestellen“ bestätigt haben. Nach Erfüllung dieser Voraussetzungen kann Disney+ aktiviert werden: entweder über den Banner auf der Startseite oder unter „Services - Weitere Kaufland Services“ unter „Medienwelt“. Ausgenommen vom 30-Euro-Einkaufswert sind: Tabakerzeugnisse, E-Zigaretten, Presse-/Verlagserzeugnisse, Pfand, Gutschein-/Guthaben-/Telefon-/Prepaid-Karten, Artikel von Tchibo, Depot und den Shop-in-Shop-Anbietern wie Sushi Circle und Yuzu Food, Säuglingsanfangsnahrung sowie Einkäufe mit Münzautomaten-Wertbons."
Welche Zahlungsmethoden werden für den Disney+ Zugang akzeptiert?,Als Zahlungsmittel für Disney+ über die Kaufland-App wird ausschließlich Kaufland Pay akzeptiert. Die Zahlung erfolgt per SEPA-Lastschrift. Andere Zahlungsarten wie PayPal oder Kreditkarte sind nicht möglich. Weitere Informationen zu Kaufland Pay sind hier zu finden: https://filiale.kaufland.de/kaufland-xtra/kaufland-pay.html
Wie lange ist der Disney+ Gratiszeitraum für Neukunden?,"Neukunden erhalten einmalig den Gratiszeitraum für den aktuellen und den folgenden vollen Monat. Beispiel: Bei Aktivierung des Disney+ Zugangs am 15. Juni, ist der Disney+ Zugang bis zum 31. Juli gratis."
"Was muss ich beachten, wenn ich bereits ein Disney+ Konto habe?","Bestehende kostenpflichtige Disney+ Abos werden bei Aktivierung über die Kaufland-App nicht automatisch geändert oder gekündigt. Um doppelte Kosten zu vermeiden, empfehlen wir, das bestehende Abonnement entsprechend zu überprüfen und anzupassen. Bei Fragen wird gebeten, sich an den Disney+ Kundenservice zu wenden. Hilfe-Center: https://help.disneyplus.com/de/ Telefon: 089 - 380 35 111 E-Mail: help@disneyplus.com"
Ich kann mich bei Disney+ nicht einloggen oder Inhalte ausspielen.,"Bei Problemen mit dem Einloggen oder Abspielen auf der Disney+ Seite wird gebeten, den Disney+ Kundenservice zu kontaktieren. Hilfe-Center: https://help.disneyplus.com/de/ Telefon: 089 - 380 35 111 E-Mail: help@disneyplus.com"
"Was passiert mit meinem Disney+ Zugang, wenn ich Kaufland Card XTRA lösche?",Die Löschung von Kaufland Card XTRA führt automatisch zur Kündigung der Zugangsberechtigung. Das Disney+ Kundenkonto wird dadurch nicht automatisch gelöscht.
"Wird mein bestehendes Disney+ Abo automatisch geändert, wenn ich den Zugang über die Kaufland-App bestelle?","Das bestehende kostenpflichtige Disney+ Abo wird nicht automatisch geändert. Um doppelte Kosten zu vermeiden, empfehlen wir, das bestehende Abonnement entsprechend zu überprüfen und anzupassen. Bei Fragen wird gebeten, den Disney+ Kundenservice zu kontaktieren. Hilfe-Center: https://help.disneyplus.com/de/ Telefon: 089 - 380 35 111 E-Mail: help@disneyplus.com"
"Warum wurde mir der Betrag für Disney+ abgebucht, obwohl ich es noch nicht genutzt habe?","Mit Klick auf „Zahlungspflichtig bestellen“ im Rahmen der Registrierung für Disney+ über Kaufland Card XTRA wird ein Angebot zum Abschluss eines Vertrages über eine kostenpflichtige Zugangsberechtigung abgegeben. Durch eine Bestätigungsmail kommt dieser Vertrag zustande. Die Abbuchung erfolgt für die Freischaltung der Zugangsberechtigung. Um die Inhalte zu sehen, muss Kaufland Card XTRA mit dem Disney+ Konto verknüpft werden."
Wie erfolgt die Abrechnung nach dem Gratiszeitraum?,Bei der Registrierung wird die kostenpflichtige Disney+ Zugangsberechtigung mit Treuepunkten und/oder Zuzahlung ausgewählt. Die gewählten Treuepunkte werden automatisch am 01. eines Monats eingelöst und die Zuzahlung anschließend eingezogen. Bei nicht genügend Punkten wird automatisch die nächstmögliche Zugangsberechtigung mit entsprechendem Zuzahlungsbetrag gesichert. Auf diese Weise wird nie mehr als nötig gezahlt und der Disney+ Treuevorteil bleibt in Abhängigkeit der vorhandenen Treuepunkte dauerhaft erhalten.
"Was passiert, wenn meine Treuepunkte für die gewählte Zugangsberechtigung nicht ausreichen?","Bei nicht genügend Punkten am 01. eines Monats wird automatisch die nächstmögliche Zugangsberechtigung mit entsprechendem Zuzahlungsbetrag gesichert. Auf diese Weise wird nie mehr als nötig gezahlt und der Vorteil bleibt erhalten. Beispiel: Wurde die Zugangsberechtigung mit 750 Treuepunkten ohne Zuzahlung ausgewählt, aber die nötige Anzahl an Treuepunkten ist nicht vorhanden? Kein Problem. Es wird automatisch auf die nächstmögliche Zugangsberechtigung mit dem entsprechenden Zuzahlungsbetrag zurückgefallen – zum Beispiel 250 Treuepunkte + 2.99 Euro Zuzahlung. Auch wenn der Treuepunktestand bei 249 oder 0 liegt, bleibt die kostenpflichtige Zugangsberechtigung für 4.99 Euro im Monat weiterhin bestehen."
"Was passiert, wenn ich mein Disney+ Kundenkonto lösche?","Die Dienste von Disney+ können dann nicht mehr genutzt werden, da die Kontoverbindung zu Kaufland Card XTRA nicht mehr existiert. Da der Vertrag mit Lidl Content GmbH abgeschlossen wurde, wird dieser dadurch nicht automatisch gekündigt. Sollte ein zahlungspflichtiger Disney+ Zugang über die Kaufland-App gebucht worden sein, werden weiterhin die anfallenden Gebühren berechnet. Soll der zahlungspflichtige Vertrag beendet werden, so muss dieser über die Kaufland-App oder den Kaufland-Kundenservice direkt gekündigt werden."
Wie kündige oder verwalte ich meine über die Kaufland-App abgeschlossene Disney+ Zugangsberechtigung?,"Die über Kaufland Card XTRA genutzte Disney+ Zugangsberechtigung wird in der Kaufland-App unter „Disney+“ in der „Medienwelt“ verwaltet und gekündigt. Die Kündigung der Disney+ Zugangsberechtigung kann, falls keine aktive Kaufland Card XTRA Anmeldung besteht, auch ohne Login über das Formular https://filiale.kaufland.de/service/kontakt.html#kontaktformular erfolgen, welches wie folgt auszufüllen ist: Anliegen: Kaufland Card XTRA Nachricht: Kündigung Disney+ Zugangsberechtigung E-Mail-Adresse: Die beim Registrieren für die Disney+ Zugangsberechtigung hinterlegte E-Mail-Adresse. Nach dem Absenden des Formulars wird die Kündigung bearbeitet."
Wie reaktiviere ich meinen Disney+ Zugang über die Kaufland-App?,Erst nach erfolgter Kündigung kann über die Kaufland-App der Disney+ Zugang erneut unter „Disney+“ in der „Medienwelt“ reaktiviert werden. Der Disney+ Zugang ist nach der Buchung sofort wieder aktiv. Im Falle einer Reaktivierung wird unabhängig vom Reaktivierungsdatum der gesamte monatliche reguläre Preis fällig. Zum Beispiel wird bei einer Reaktivierung am 15. eines Monats der gesamte monatliche reguläre Preis für den angefangenen Monat fällig.
Welche Disney+ Pakete gibt es?,"Disney+ Standard mit Werbung: Streamen mit Werbeunterbrechung, Audioqualität bis zu 5.1, Videoqualität bis zu 1080p Full HD und gleichzeitiges Streamen auf zwei Endgeräten Disney+ Standard: Streamen ohne Werbeunterbrechung, Audioqualität bis zu 5.1, Videoqualität bis zu 1080p Full HD, gleichzeitiges Streamen auf zwei Endgeräten und Downloads auf bis zu zehn Endgeräte Disney+ Premium: Streamen ohne Werbeunterbrechung, hochwertige Audioqualität bis zu Dolby Atmos, Videoqualität bis zu 4K UHD und HDR, gleichzeitiges Streamen auf bis zu vier Endgeräten und Downloads auf bis zu zehn Endgeräte Die Video- und Audioqualität variiert je nach Paket, unterstütztem Endgerät, Internet-Download-Geschwindigkeit und den Inhalten, die du gerade ansiehst. Alle Pakete können in begrenztem Umfang Werbeinhalte wie Clips und Trailer zu auf Disney+ verfügbaren Inhalten oder anderen Disney-Produkten sowie Inhalte mit Branding oder Hinweise auf die Finanzierung einer Sendung durch Sponsoren enthalten. Die Pakete können Live-Inhalte oder Sonderereignisse wie etwa Wiederholungen umfassen, die traditionelle Werbepausen oder Werbebotschaften enthalten. Weitere Informationen sind im Hilfe-Center von Disney+ verfügbar"
